primerid,logFC,pvalue,padj,regulation
TRIM8-DT,,0.0888019550316007,0.341738743732575,stable
TRMT61A-DT,,0.180929801821507,0.493239495420629,stable
TTC40,,0.0511142453339767,0.248932484048817,stable
TYMS,,0.33689249491123,0.662359289053124,stable
UBE3D,,0.00294447887859066,0.0381689393551349,stable
UCKL1-AS1,,0.185630735374935,0.498928264640934,stable
UQCRHL,,0.286521459417094,0.614031963519383,stable
USP27X-DT,,0.151400120009523,0.451504041716617,stable
USP49,,0.0118823176319854,0.100985592383742,stable
UST,,0.0218381713932893,0.151503863286929,stable
VAMP1,,0.0041151829518938,0.0488388314601455,stable
WDPCP,,0.00056794762749083,0.0110467088830407,stable
WNT2B,,0.0185833153854807,0.135944013927059,stable
WNT5B,,0.172788762306979,0.483112952982734,stable
WNT7B,,0.0661623675460301,0.290819410601464,stable
XKR6,,0.0633804193554621,0.282979420264672,stable
XKR9,,0.341858121966346,0.667018943801534,stable
XPC-AS1,,0.190399597117563,0.50574634401675,stable
XXYLT1,,0.0485130535348465,0.242644667107186,stable
ZBTB26,,0.0190266374789002,0.138606446091821,stable
ZBTB3,,0.0351287957410774,0.201603004290578,stable
ZDHHC14,,0.133615496502345,0.424297730149732,stable
ZFAND2A-DT,,0.260864674023276,0.586178267511127,stable
ZFAT,,0.00226479403005911,0.0314243385056102,stable
ZHX1-C8ORF76,,0.396783931158811,0.71292950499138,stable
ZKSCAN7,,0.218364250615751,0.538814008786222,stable
ZNF101,,0.192282599713311,0.507770812841097,stable
ZNF155,,0.0158958611042284,0.122518562735149,stable
ZNF169,,0.0160428729376911,0.123493752386862,stable
ZNF18,,0.0565794670715139,0.263933365881007,stable
ZNF2,,0.0642982790475609,0.285811695664503,stable
ZNF20,,0.119588436426396,0.402067484666565,stable
ZNF214,,0.164019554616196,0.469427580722436,stable
ZNF22-AS1,,0.248067405399721,0.572254380752253,stable
ZNF223,,0.108548094235285,0.382059287052153,stable
ZNF239,,0.15188956978659,0.452301608056342,stable
ZNF267,,0.00807428700194812,0.0785203534700189,stable
ZNF286A,,0.0301315062769732,0.183065081451925,stable
ZNF304,,0.00292262135311956,0.0379895736462698,stable
ZNF324B,,0.139168154107593,0.432157893061084,stable
ZNF337-AS1,,0.0331098907008329,0.194210798429454,stable
ZNF391,,0.0792480044041275,0.322970561556386,stable
ZNF410,,0.0340606785711545,0.197606898364401,stable
ZNF443,,0.0521325519767352,0.251685748563827,stable
ZNF526,,0.00440142628788257,0.0513583736886384,stable
ZNF530,,0.0690437550921533,0.298019372262176,stable
ZNF543,,0.0728932163071924,0.307257474530731,stable
ZNF554,,0.0266300792113844,0.169898793465534,stable
ZNF555,,0.0175719936967436,0.130656965297442,stable
